Participant;hit;position;series;x [mm];y [mm];distance [mm]
15,0;1,0;1,0;1,0;-4,060000000000002;9,239999999999995;10,09263097512239
15,0;2,0;1,0;1,0;0,14000000000001478;0,8400000000000034;0,8515867542417566
15,0;3,0;1,0;1,0;-2,239999999999995;-1,8200000000000074;2,886173937932363
15,0;4,0;1,0;1,0;-0,7000000000000028;-2,519999999999996;2,6154158369177134
15,0;5,0;1,0;1,0;2,3799999999999955;-5,599999999999994;6,084767867388198
15,0;7,0;2,0;1,0;-0,28000000000000114;5,739999999999995;5,746825210496657
15,0;8,0;2,0;1,0;0,8400000000000034;-3,780000000000001;3,8722086720630147
15,0;9,0;2,0;1,0;1,9599999999999937;3,6400000000000006;4,13415045686535
15,0;10,0;2,0;1,0;0,14000000000001478;3,3599999999999994;3,362915401850008
15,0;11,0;2,0;1,0;1,8200000000000074;1,2600000000000051;2,2135943621178744
15,0;13,0;3,0;1,0;0,8400000000000034;-0,2799999999999869;0,8854377448471453
15,0;14,0;3,0;1,0;2,3799999999999955;-0,2799999999999869;2,3964139876073105
15,0;15,0;3,0;1,0;-1,2600000000000051;-6,579999999999998;6,699552223843023
15,0;16,0;3,0;1,0;3,500000000000014;-11,47999999999999;12,001683215282757
15,0;19,0;4,0;1,0;1,8200000000000074;-1,539999999999992;2,384114091229697
15,0;20,0;4,0;1,0;2,240000000000009;2,239999999999995;3,1678383797157355
15,0;21,0;4,0;1,0;-0,4200000000000017;-4,200000000000003;4,220947760870777
15,0;22,0;4,0;1,0;-0,28000000000000114;4,8999999999999915;4,907993480028261
15,0;23,0;4,0;1,0;-4,6200000000000045;-5,040000000000006;6,837104650361884
15,0;25,0;5,0;1,0;0,2799999999999869;-0,5600000000000023;0,6260990336999374
15,0;26,0;5,0;1,0;-2,239999999999995;-1,8200000000000074;2,886173937932363
15,0;27,0;5,0;1,0;4,47999999999999;0,14000000000000057;4,482186966202984
15,0;28,0;5,0;1,0;-4,47999999999999;-1,9599999999999937;4,889989775040423
15,0;29,0;5,0;1,0;-4,8999999999999915;-0,6999999999999886;4,949747468305823
15,0;31,0;6,0;1,0;4,759999999999991;-1,8200000000000074;5,096076922496357
15,0;32,0;6,0;1,0;0,14000000000001478;1,8199999999999932;1,825376673456736
15,0;33,0;6,0;1,0;-4,200000000000003;-1,6800000000000068;4,523538437992989
15,0;34,0;6,0;1,0;2,1000000000000085;-2,660000000000011;3,389041162334871
15,0;35,0;6,0;1,0;2,660000000000011;-5,460000000000008;6,0734833497754925
15,0;37,0;1,0;2,0;1,2600000000000051;4,200000000000003;4,384928733742435
15,0;38,0;1,0;2,0;2,799999999999997;3,5;4,482186966202992
15,0;39,0;1,0;2,0;0,5600000000000023;-0,4200000000000017;0,7000000000000028
15,0;40,0;1,0;2,0;0,980000000000004;-4,060000000000002;4,176601489249366
15,0;41,0;1,0;2,0;2,240000000000009;-1,8200000000000074;2,8861739379323743
15,0;43,0;2,0;2,0;2,519999999999996;3,5;4,3128181042098195
15,0;44,0;2,0;2,0;1,4000000000000057;-2,1000000000000085;2,523885892824803
15,0;45,0;2,0;2,0;-0,4200000000000017;-4,8999999999999915;4,917967059670074
15,0;46,0;2,0;2,0;1,6800000000000068;-0,2799999999999869;1,7031735084835062
15,0;49,0;3,0;2,0;0,8400000000000034;1,5400000000000063;1,7541949720598407
15,0;50,0;3,0;2,0;1,6800000000000068;-0,980000000000004;1,9449421585229807
15,0;51,0;3,0;2,0;1,6800000000000068;-3,0800000000000125;3,5083899441196813
15,0;52,0;3,0;2,0;2,240000000000009;-5,179999999999993;5,643580423808982
15,0;53,0;3,0;2,0;1,8200000000000074;-14,279999999999987;14,395513189879674
15,0;55,0;4,0;2,0;7,980000000000004;-3,3599999999999994;8,65852181379709
15,0;56,0;4,0;2,0;0,0;-4,759999999999991;4,759999999999991
15,0;57,0;4,0;2,0;1,6800000000000068;-6,019999999999996;6,250023999953918
15,0;58,0;4,0;2,0;-1,2600000000000051;0,980000000000004;1,5962455951387997
15,0;59,0;4,0;2,0;-1,2600000000000051;-2,660000000000011;2,9433314458280213
15,0;61,0;5,0;2,0;0,980000000000004;-0,2799999999999869;1,0192153844992728
15,0;62,0;5,0;2,0;2,9399999999999977;-3,0800000000000125;4,257933771208761
15,0;63,0;5,0;2,0;4,200000000000003;2,519999999999996;4,897999591670053
15,0;64,0;5,0;2,0;-2,3799999999999955;-2,519999999999996;3,466237152879179
15,0;65,0;5,0;2,0;-5,88000000000001;-1,539999999999992;6,078322136905881
