Participant;hit;position;series;hammer;left/righthanded; x [mm];y [mm];distance [mm];timecode;
;;;;;;;;;;
15;1;3;1;gross;right;21,94929;-8,793396;23,64519;08.11.2023 14:32;
15;2;3;1;gross;right;12,31146;0,5810052;12,32517;08.11.2023 14:32;
15;3;3;1;gross;right;5,856575;0,160003;5,85876;08.11.2023 14:32;
15;4;3;1;gross;right;10,73767;-0,02170298;10,73769;08.11.2023 14:32;
15;5;3;1;gross;right;-3,7665;2,113438;4,318929;08.11.2023 14:32;
15;6;6;1;gross;right;11,34883;-5,955707;12,81665;08.11.2023 14:32;
15;7;6;1;gross;right;10,34193;-1,250953;10,41731;08.11.2023 14:32;
15;8;6;1;gross;right;1,135626;-8,655488;8,729669;08.11.2023 14:32;
15;9;6;1;gross;right;3,40069;-1,55316;3,738582;08.11.2023 14:32;
15;10;6;1;gross;right;0,8134257;-8,272344;8,31224;08.11.2023 14:32;
15;11;3;2;gross;right;12,65294;7,539166;14,72875;08.11.2023 14:32;
15;12;3;2;gross;right;2,73311;-4,402948;5,182262;08.11.2023 14:32;
15;13;3;2;gross;right;5,61714;-0,6856226;5,658828;08.11.2023 14:32;
15;14;3;2;gross;right;12,4953;-4,47359;13,27198;08.11.2023 14:32;
15;15;3;2;gross;right;10,02729;1,576204;10,15042;08.11.2023 14:32;
15;16;6;2;gross;right;1,222776;-19,50917;19,54745;08.11.2023 14:32;
15;17;6;2;gross;right;-3,363545;10,15462;10,69718;08.11.2023 14:32;
15;18;6;2;gross;right;0,4194987;-2,577426;2,611342;08.11.2023 14:32;
15;19;6;2;gross;right;4,206333;-2,071294;4,688656;08.11.2023 14:32;
15;20;6;2;gross;right;-5,083361;2,999137;5,90215;08.11.2023 14:32;
15;21;1;1;klein;right;-3,059502;12,13555;12,51527;08.11.2023 14:34;
15;22;1;1;klein;right;9,496121;2,172631;9,741491;08.11.2023 14:34;
15;23;1;1;klein;right;5,4764;1,209004;5,608266;08.11.2023 14:34;
15;24;1;1;klein;right;3,211016;-5,002821;5,944648;08.11.2023 14:34;
15;25;1;1;klein;right;4,076002;-8,417748;9,352662;08.11.2023 14:34;
15;26;4;1;klein;right;10,32861;-4,498826;11,26586;08.11.2023 14:34;
15;27;4;1;klein;right;-9,718019;-4,957487;10,90947;08.11.2023 14:34;
15;28;4;1;klein;right;5,035207;7,581336;9,101097;08.11.2023 14:34;
15;29;4;1;klein;right;-3,214409;-0,9032747;3,338912;08.11.2023 14:34;
15;30;4;1;klein;right;6,89734;0,148484;6,898938;08.11.2023 14:34;
15;31;1;2;klein;right;5,33124;-1,564992;5,556196;08.11.2023 14:34;
15;32;1;2;klein;right;0,8189773;-2,839289;2,955044;08.11.2023 14:34;
15;33;1;2;klein;right;10,53258;-0,5177463;10,54529;08.11.2023 14:34;
15;34;1;2;klein;right;-3,982918;-15,07144;15,58884;08.11.2023 14:34;
15;35;1;2;klein;right;0,6559676;-7,401985;7,430995;08.11.2023 14:34;
15;36;4;2;klein;right;2,683729;1,312052;2,987287;08.11.2023 14:34;
15;37;4;2;klein;right;0,275198;-7,450263;7,455344;08.11.2023 14:34;
15;38;4;2;klein;right;1,226967;-7,087985;7,193398;08.11.2023 14:34;
15;39;4;2;klein;right;-1,87209;4,023462;4,437675;08.11.2023 14:34;
15;40;4;2;klein;right;-2,385868;1,602628;2,874158;08.11.2023 14:34;
15;41;2;1;mittel;right;-0,1554684;2,483091;2,487953;08.11.2023 14:36;
15;42;2;1;mittel;right;6,771257;0,2031672;6,774305;08.11.2023 14:36;
15;43;2;1;mittel;right;1,062098;-2,301308;2,534575;08.11.2023 14:36;
15;44;2;1;mittel;right;-1,607516;-12,93989;13,03936;08.11.2023 14:36;
15;45;2;1;mittel;right;7,595337;3,015856;8,17218;08.11.2023 14:36;
15;46;5;1;mittel;right;3,521238;-11,3125;11,84786;08.11.2023 14:36;
15;47;5;1;mittel;right;3,706051;0,7885062;3,789005;08.11.2023 14:36;
15;48;5;1;mittel;right;-5,879148;-7,779166;9,750887;08.11.2023 14:36;
15;49;5;1;mittel;right;5,679798;-3,075232;6,458882;08.11.2023 14:36;
15;50;5;1;mittel;right;10,8759;-12,97513;16,93042;08.11.2023 14:36;
15;51;2;2;mittel;right;6,409873;-13,57963;15,01642;08.11.2023 14:36;
15;52;2;2;mittel;right;-2,536877;-2,25938;3,397137;08.11.2023 14:36;
15;53;2;2;mittel;right;4,143083;-4,860065;6,386342;08.11.2023 14:36;
15;54;2;2;mittel;right;-0,1711201;-11,42531;11,42659;08.11.2023 14:36;
15;55;2;2;mittel;right;0,03557805;-5,71828;5,718391;08.11.2023 14:36;
15;56;5;2;mittel;right;8,955954;-4,762295;10,1434;08.11.2023 14:36;
15;57;5;2;mittel;right;-7,545809;-4,975136;9,03832;08.11.2023 14:36;
15;58;5;2;mittel;right;-6,241416;15,75738;16,94846;08.11.2023 14:36;
15;59;5;2;mittel;right;-57,23309;-0,7949003;57,23861;08.11.2023 14:37;>falsch
15;60;5;2;mittel;right;6,54253;6,010852;8,884539;08.11.2023 14:38;
15;61;5;2;mittel;right;7,616927;6,573662;10,06134;08.11.2023 14:38;
