Participant;hit;position;series;hammer;left/righthanded; x [mm];y [mm];distance [mm];timecode
;;;;;;;;;
19;1;1;1;klein;right;5,557622;-0,3828346;5,570793;10.11.2023 13:16:52
19;2;1;1;klein;right;6,334239;-15,89029;17,10625;10.11.2023 13:16:53
19;3;1;1;klein;right;-4,051138;-15,06222;15,5975;10.11.2023 13:16:54
19;4;1;1;klein;right;-6,123519;-19,39642;20,34008;10.11.2023 13:16:55
19;5;1;1;klein;right;7,555823;-20,95392;22,27459;10.11.2023 13:16:55
19;6;4;1;klein;right;1,514062;-7,794682;7,940369;10.11.2023 13:17:03
19;7;4;1;klein;right;14,11397;-8,96776;16,72199;10.11.2023 13:17:04
19;8;4;1;klein;right;1,113209;-10,69376;10,75155;10.11.2023 13:17:05
19;9;4;1;klein;right;-1,189795;-13,7985;13,8497;10.11.2023 13:17:06
19;10;4;1;klein;right;-4,2349;-10,06073;10,91571;10.11.2023 13:17:06
19;11;1;2;klein;right;-2,219317;-16,56502;16,71302;10.11.2023 13:17:12
19;12;1;2;klein;right;37,27916;-7,842113;38,09507;10.11.2023 13:17:13
19;13;1;2;klein;right;6,886056;-19,2632;20,457;10.11.2023 13:17:14
19;14;1;2;klein;right;4,711725;-11,56277;12,48591;10.11.2023 13:17:15
19;15;1;2;klein;right;2,289442;-10,17946;10,43374;10.11.2023 13:17:16
19;16;4;2;klein;right;0,4672398;-19,55292;19,5585;10.11.2023 13:17:25
19;17;4;2;klein;right;0,0103819;-17,45885;17,45885;10.11.2023 13:17:26
19;18;4;2;klein;right;6,044322;-12,80676;14,16146;10.11.2023 13:17:27
19;19;4;2;klein;right;1,505564;-14,25863;14,33789;10.11.2023 13:17:29
19;20;4;2;klein;right;-3,183946;-17,16658;17,45935;10.11.2023 13:17:29
19;21;3;1;gross;right;-6,667591;-16,46634;17,76505;10.11.2023 13:19:38
19;22;3;1;gross;right;-6,288384;-26,28944;27,03106;10.11.2023 13:19:38
19;23;3;1;gross;right;-4,944201;-20,52625;21,11332;10.11.2023 13:19:39
19;24;3;1;gross;right;-13,53768;-23,38528;27,0211;10.11.2023 13:19:40
19;25;3;1;gross;right;-9,83147;-13,18058;16,4434;10.11.2023 13:19:41
19;26;6;1;gross;right;0,1087871;-23,68081;23,68106;10.11.2023 13:19:45
19;27;6;1;gross;right;15,25079;-6,486631;16,57296;10.11.2023 13:19:46
19;28;6;1;gross;right;2,015707;-21,56508;21,65908;10.11.2023 13:19:47
19;29;6;1;gross;right;-3,669168;-21,56296;21,87291;10.11.2023 13:19:48
19;30;6;1;gross;right;-4,180384;-14,08039;14,68785;10.11.2023 13:19:49
19;31;6;2;gross;right;-55,37371;24,58825;60,58738;10.11.2023 13:19:50
19;32;3;2;gross;right;-5,607729;-17,30392;18,18989;10.11.2023 13:19:53
19;33;3;2;gross;right;3,244465;-19,03487;19,3094;10.11.2023 13:19:54
19;34;3;2;gross;right;8,601218;-21,94966;23,57474;10.11.2023 13:19:55
19;35;3;2;gross;right;-1,336181;-35,85102;35,87591;10.11.2023 13:19:56
19;36;3;2;gross;right;-1,105666;-15,49785;15,53724;10.11.2023 13:19:57
19;37;6;2;gross;right;-3,419469;-11,09327;11,60833;10.11.2023 13:20:01
19;38;6;2;gross;right;-36,41914;-12,7922;38,60044;10.11.2023 13:20:03
19;39;6;2;gross;right;3,835808;-11,69315;12,30623;10.11.2023 13:20:09
19;40;6;2;gross;right;9,623436;-15,26579;18,04591;10.11.2023 13:20:10
19;41;6;2;gross;right;9,293319;-9,025667;12,95486;10.11.2023 13:20:11
19;42;2;1;mittel;right;10,64932;-12,39022;16,33786;10.11.2023 13:21:36
19;43;2;1;mittel;right;5,032511;-22,57305;23,12723;10.11.2023 13:21:37
19;44;2;1;mittel;right;7,863396;-19,50996;21,03501;10.11.2023 13:21:38
19;45;2;1;mittel;right;10,6457;-23,28143;25,59992;10.11.2023 13:21:39
19;46;2;1;mittel;right;-0,2855743;-17,17942;17,18179;10.11.2023 13:21:40
19;47;5;1;mittel;right;15,39154;-13,55155;20,50717;10.11.2023 13:21:44
19;48;5;1;mittel;right;16,41165;-17,11984;23,71563;10.11.2023 13:21:45
19;49;5;1;mittel;right;8,726311;-19,35861;21,23451;10.11.2023 13:21:46
19;50;5;1;mittel;right;15,71646;-21,80297;26,87707;10.11.2023 13:21:47
19;51;5;1;mittel;right;18,32289;-16,68239;24,77963;10.11.2023 13:21:48
19;52;2;2;mittel;right;-0,729352;-22,70621;22,71792;10.11.2023 13:21:52
19;53;2;2;mittel;right;8,766559;-36,35944;37,40136;10.11.2023 13:21:53
19;54;2;2;mittel;right;-0,8647452;-30,29882;30,31115;10.11.2023 13:21:54
19;55;2;2;mittel;right;10,26728;-21,2342;23,58619;10.11.2023 13:21:55
19;56;2;2;mittel;right;5,484254;-20,8714;21,57991;10.11.2023 13:21:56
19;57;5;2;mittel;right;15,59213;-15,67505;22,10931;10.11.2023 13:21:59
19;58;5;2;mittel;right;26,18039;-10,97851;28,38909;10.11.2023 13:22:00
19;59;5;2;mittel;right;12,67736;-18,7416;22,6266;10.11.2023 13:22:01
19;60;5;2;mittel;right;12,15831;-20,19849;23,57549;10.11.2023 13:22:02
19;61;5;2;mittel;right;14,81742;-12,67732;19,50052;10.11.2023 13:22:03
