Participant;hit;position;series;hammer;left/righthanded; x [mm];y [mm];distance [mm];timecode
;;;;;;;;;
4;1;5;1;mittel;right;-1,95553;6,641449;6,923363;18.10.2023 10:28
4;2;5;1;mittel;right;5,563735;5,056679;7,518321;18.10.2023 10:28
4;3;5;1;mittel;right;10,84272;1,875877;11,0038;18.10.2023 10:28
4;4;5;1;mittel;right;-0,4876645;-2,876873;2,917913;18.10.2023 10:28
4;5;5;1;mittel;right;0,5736864;1,446152;1,555786;18.10.2023 10:28
4;6;3;1;mittel;right;-8,628603;7,000933;11,11152;18.10.2023 10:28
4;7;3;1;mittel;right;-6,139132;9,674497;11,45796;18.10.2023 10:28
4;8;3;1;mittel;right;0,750423;6,435883;6,479485;18.10.2023 10:28
4;9;3;1;mittel;right;0,728874;4,141685;4,205332;18.10.2023 10:28
4;10;3;1;mittel;right;4,693653;9,310493;10,42668;18.10.2023 10:28
4;11;1;1;mittel;right;-7,424328;3,990129;8,42863;18.10.2023 10:28
4;12;1;1;mittel;right;11,70421;-3,441298;12,19964;18.10.2023 10:28
4;13;1;1;mittel;right;1,398131;0,3004753;1,430054;18.10.2023 10:28
4;14;1;1;mittel;right;-0,6578865;-3,49886;3,560174;18.10.2023 10:29
4;15;1;1;mittel;right;5,938456;0,3751238;5,950292;18.10.2023 10:29
4;16;6;1;mittel;right;3,271731;8,30517;8,92637;18.10.2023 10:29
4;17;6;1;mittel;right;-3,082457;-3,865222;4,943833;18.10.2023 10:29
4;18;6;1;mittel;right;5,57229;-0,3013262;5,580431;18.10.2023 10:29
4;19;6;1;mittel;right;2,458113;1,76428;3,025724;18.10.2023 10:29
4;20;6;1;mittel;right;2,737527;-0,4379851;2,772343;18.10.2023 10:29
4;21;4;1;mittel;right;-5,794914;-1,673463;6,031708;18.10.2023 10:29
4;22;4;1;mittel;right;7,644648;12,50872;14,65976;18.10.2023 10:29
4;23;4;1;mittel;right;6,34288;7,206919;9,600616;18.10.2023 10:29
4;24;4;1;mittel;right;-11,68658;6,371243;13,31048;18.10.2023 10:29
4;25;4;1;mittel;right;2,535728;6,157018;6,658738;18.10.2023 10:29
4;26;2;1;mittel;right;-0,7784224;-0,08064244;0,7825884;18.10.2023 10:29
4;27;2;1;mittel;right;0,4826517;0,6360831;0,79847;18.10.2023 10:29
4;28;2;1;mittel;right;-0,7813311;3,909315;3,986631;18.10.2023 10:29
4;29;2;1;mittel;right;-3,55789;4,202517;5,506335;18.10.2023 10:29
4;30;2;1;mittel;right;-1,444979;3,741446;4,010784;18.10.2023 10:29
4;31;1;2;mittel;right;-9,683472;6,182924;11,48905;18.10.2023 10:30
4;32;1;2;mittel;right;-4,479798;4,434119;6,303174;18.10.2023 10:30
4;33;1;2;mittel;right;-3,759893;3,31001;5,009287;18.10.2023 10:30
4;34;1;2;mittel;right;-10,30554;1,223362;10,3779;18.10.2023 10:30
4;35;4;2;mittel;right;2,019882;0,4705502;2,073967;18.10.2023 10:30
4;36;4;2;mittel;right;-1,543931;-9,743591;9,865156;18.10.2023 10:30
4;37;4;2;mittel;right;-0,4251831;-3,065484;3,09483;18.10.2023 10:30
4;38;4;2;mittel;right;-8,631545;17,06573;19,1244;18.10.2023 10:30
4;39;4;2;mittel;right;5,572987;-3,40049;6,528516;18.10.2023 10:30
4;40;2;2;mittel;right;6,62035;6,611254;9,356159;18.10.2023 10:30
4;41;2;2;mittel;right;1,850426;3,167827;3,668679;18.10.2023 10:30
4;42;2;2;mittel;right;0,1457008;0,7818419;0,7953022;18.10.2023 10:30
4;43;2;2;mittel;right;-7,962899;2,009321;8,212499;18.10.2023 10:30
4;44;2;2;mittel;right;0,394496;1,801491;1,844179;18.10.2023 10:30
4;45;3;2;mittel;right;-10,80111;-5,274461;12,02014;18.10.2023 10:30
4;46;3;2;mittel;right;7,27051;-3,830891;8,218031;18.10.2023 10:30
4;47;3;2;mittel;right;-7,220607;-4,45888;8,486388;18.10.2023 10:30
4;48;3;2;mittel;right;-3,896568;-2,165297;4,457774;18.10.2023 10:30
4;49;3;2;mittel;right;-6,634843;-9,186872;11,33224;18.10.2023 10:30
4;50;6;2;mittel;right;-6,550719;-1,812324;6,796797;18.10.2023 10:31
4;51;6;2;mittel;right;-7,100706;-0,09836631;7,101387;18.10.2023 10:31
4;52;6;2;mittel;right;4,007998;-7,281985;8,312121;18.10.2023 10:31
4;53;6;2;mittel;right;2,330789;-2,472982;3,398266;18.10.2023 10:31
4;54;6;2;mittel;right;19,65081;8,77164;21,51966;18.10.2023 10:31
4;55;5;2;mittel;right;-6,451114;8,403717;10,59431;18.10.2023 10:31
4;56;5;2;mittel;right;5,226568;-1,757153;5,514036;18.10.2023 10:31
4;57;5;2;mittel;right;22,92311;10,88255;25,37516;18.10.2023 10:31
4;58;5;2;mittel;right;7,485115;0,6022692;7,509305;18.10.2023 10:31
4;59;5;2;mittel;right;-3,207565;3,444378;4,706614;18.10.2023 10:31
