,Participant,hit,position,series,x,y,distance,mode,Hammer
1,28.0,1.0,3.0,1.0,13.97548,12.03076,18.44053,VR,schwer
2,28.0,2.0,3.0,1.0,7.434031,10.26706,12.67586,VR,schwer
3,28.0,3.0,3.0,1.0,1.946238,-2.973936,3.554172,VR,schwer
4,28.0,4.0,3.0,1.0,-20.90696,29.90785,36.49083,VR,schwer
5,28.0,5.0,3.0,1.0,54.11169,-23.7452,59.09238,VR,schwer
6,28.0,6.0,6.0,1.0,35.07569,11.00466,36.76148,VR,schwer
7,28.0,7.0,6.0,1.0,11.67784,-18.1196,21.55671,VR,schwer
8,28.0,8.0,6.0,1.0,17.87614,4.471785,18.42698,VR,schwer
9,28.0,9.0,6.0,1.0,11.39548,-2.16259,11.59887,VR,schwer
10,28.0,10.0,6.0,1.0,17.76986,6.335045,18.86533,VR,schwer
11,28.0,11.0,3.0,2.0,11.6949,13.89189,18.15917,VR,schwer
12,28.0,12.0,3.0,2.0,13.09897,8.223831,15.46656,VR,schwer
13,28.0,13.0,3.0,2.0,1.941332,-4.387388,4.797702,VR,schwer
14,28.0,14.0,3.0,2.0,0.490742,-14.97105,14.97909,VR,schwer
15,28.0,15.0,3.0,2.0,7.829289,-21.43083,22.81618,VR,schwer
16,28.0,16.0,6.0,2.0,26.49201,-4.917716,26.94458,VR,schwer
17,28.0,17.0,6.0,2.0,-8.038937,-11.56284,14.08274,VR,schwer
18,28.0,18.0,6.0,2.0,4.414769,16.88295,17.45062,VR,schwer
19,28.0,19.0,6.0,2.0,-7.86754,18.1453,19.77751,VR,schwer
20,28.0,20.0,6.0,2.0,3.018404,27.76374,27.92734,VR,schwer
21,28.0,21.0,2.0,1.0,-10.39867,47.26091,48.39139,VR,mittel
22,28.0,22.0,2.0,1.0,5.080637,-2.066424,5.484795,VR,mittel
23,28.0,23.0,2.0,1.0,-17.15991,-0.3087355,17.16269,VR,mittel
24,28.0,24.0,2.0,1.0,5.480804,-5.324666,7.641419,VR,mittel
25,28.0,25.0,2.0,1.0,26.03485,-35.43409,43.97031,VR,mittel
26,28.0,26.0,5.0,1.0,5.442715,14.91445,15.87652,VR,mittel
27,28.0,27.0,5.0,1.0,29.17489,-19.26046,34.95911,VR,mittel
28,28.0,28.0,5.0,1.0,30.9988,13.75498,33.9135,VR,mittel
29,28.0,29.0,5.0,1.0,-1.345354,14.18578,14.24943,VR,mittel
30,28.0,30.0,5.0,1.0,-14.59047,9.668067,17.50295,VR,mittel
31,28.0,31.0,2.0,2.0,-3.374331,22.45048,22.70264,VR,mittel
32,28.0,32.0,2.0,2.0,-6.807551,-0.9886082,6.878961,VR,mittel
33,28.0,33.0,2.0,2.0,6.284805,-13.95266,15.30279,VR,mittel
34,28.0,34.0,2.0,2.0,3.502963,1.772897,3.926056,VR,mittel
35,28.0,35.0,2.0,2.0,-14.05648,11.96454,18.459,VR,mittel
36,28.0,36.0,5.0,2.0,27.54659,6.004536,28.19342,VR,mittel
37,28.0,37.0,5.0,2.0,10.03119,-6.399594,11.89872,VR,mittel
38,28.0,38.0,5.0,2.0,8.316072,-3.781191,9.135342,VR,mittel
39,28.0,39.0,5.0,2.0,19.33825,25.99414,32.39851,VR,mittel
40,28.0,40.0,5.0,2.0,12.76737,-2.37788,12.98692,VR,mittel
42,28.0,42.0,1.0,1.0,-19.86395,21.75514,29.45951,VR,leicht
43,28.0,43.0,1.0,1.0,2.759717,12.87748,13.16988,VR,leicht
44,28.0,44.0,1.0,1.0,-10.55298,-0.31288,10.55762,VR,leicht
45,28.0,45.0,1.0,1.0,5.40695,3.711496,6.558225,VR,leicht
46,28.0,46.0,1.0,1.0,0.2736535,15.41308,15.41551,VR,leicht
48,28.0,48.0,4.0,1.0,5.027726,-1.242243,5.178918,VR,leicht
49,28.0,49.0,4.0,1.0,4.157802,2.636693,4.923359,VR,leicht
50,28.0,50.0,4.0,1.0,-4.048272,-3.045519,5.065934,VR,leicht
51,28.0,51.0,4.0,1.0,9.540249,-5.384475,10.95486,VR,leicht
52,28.0,52.0,4.0,1.0,7.532727,-0.3621249,7.541427,VR,leicht
53,28.0,53.0,1.0,2.0,-8.649925,15.89781,18.09866,VR,leicht
54,28.0,54.0,1.0,2.0,5.483022,-5.516317,7.777743,VR,leicht
55,28.0,55.0,1.0,2.0,0.3112453,-11.11473,11.11909,VR,leicht
56,28.0,56.0,1.0,2.0,-2.005087,3.63064,4.14752,VR,leicht
57,28.0,57.0,1.0,2.0,0.3631148,-20.63576,20.63896,VR,leicht
58,28.0,58.0,4.0,2.0,29.94172,6.704443,30.68316,VR,leicht
59,28.0,59.0,4.0,2.0,7.116262,-8.918083,11.40936,VR,leicht
60,28.0,60.0,4.0,2.0,5.116981,17.76295,18.48529,VR,leicht
61,28.0,61.0,4.0,2.0,9.197457,17.74846,19.99002,VR,leicht
62,28.0,62.0,4.0,2.0,2.902446,-16.23702,16.49439,VR,leicht
1,9.0,1.0,2.0,1.0,-2.840113,-22.83154,23.00751,VR,mittel
2,9.0,2.0,2.0,1.0,-1.699653,2.076852,2.683679,VR,mittel
3,9.0,3.0,2.0,1.0,-1.419475,-6.044694,6.209125,VR,mittel
4,9.0,4.0,2.0,1.0,2.855073,2.713949,3.939158,VR,mittel
5,9.0,5.0,2.0,1.0,-7.828488,-13.66186,15.74585,VR,mittel
6,9.0,6.0,5.0,1.0,4.242713,-7.091439,8.263724,VR,mittel
7,9.0,7.0,5.0,1.0,-4.55339,-12.48715,13.29144,VR,mittel
8,9.0,8.0,5.0,1.0,3.972522,-20.45699,20.83913,VR,mittel
9,9.0,9.0,5.0,1.0,9.438544,-9.602319,13.46442,VR,mittel
10,9.0,10.0,5.0,1.0,-3.18937,-16.13057,16.44285,VR,mittel
11,9.0,11.0,2.0,2.0,-14.37966,-9.77212,17.38588,VR,mittel
12,9.0,12.0,2.0,2.0,16.16915,-3.122352,16.46786,VR,mittel
13,9.0,13.0,2.0,2.0,5.500624,-21.01995,21.72775,VR,mittel
14,9.0,14.0,2.0,2.0,-1.552384,-14.84389,14.92485,VR,mittel
15,9.0,15.0,2.0,2.0,-4.814508,-7.571393,8.972485,VR,mittel
16,9.0,16.0,5.0,2.0,-4.315336,-14.53332,15.16046,VR,mittel
17,9.0,17.0,5.0,2.0,6.132518,-7.355338,9.576469,VR,mittel
18,9.0,18.0,5.0,2.0,-0.8558395,-1.22507,1.494409,VR,mittel
19,9.0,19.0,5.0,2.0,4.447894,-2.482447,5.093752,VR,mittel
20,9.0,20.0,5.0,2.0,13.25553,-2.368761,13.46551,VR,mittel
21,9.0,21.0,1.0,1.0,8.779991,-13.69675,16.26927,VR,leicht
22,9.0,22.0,1.0,1.0,1.64319,9.264052,9.408653,VR,leicht
23,9.0,23.0,1.0,1.0,5.522978,5.723702,7.953871,VR,leicht
24,9.0,24.0,1.0,1.0,4.363111,-7.520369,8.694406,VR,leicht
25,9.0,25.0,1.0,1.0,3.800903,8.190798,9.02973,VR,leicht
26,9.0,26.0,4.0,1.0,5.508745,-15.69801,16.63652,VR,leicht
27,9.0,27.0,4.0,1.0,11.01989,-3.348373,11.51736,VR,leicht
28,9.0,28.0,4.0,1.0,13.95569,-9.142,16.68344,VR,leicht
29,9.0,29.0,4.0,1.0,14.36267,-14.55576,20.44887,VR,leicht
30,9.0,30.0,4.0,1.0,-3.953767,-2.327747,4.588102,VR,leicht
31,9.0,31.0,1.0,2.0,2.56382,-7.328172,7.763715,VR,leicht
32,9.0,32.0,1.0,2.0,6.840999,-10.99171,12.9467,VR,leicht
33,9.0,33.0,1.0,2.0,-4.210953,-1.326283,4.414878,VR,leicht
34,9.0,34.0,1.0,2.0,-2.62163,-6.093958,6.633948,VR,leicht
35,9.0,35.0,1.0,2.0,2.641473,3.173805,4.129215,VR,leicht
36,9.0,36.0,4.0,2.0,5.696567,-6.772563,8.849772,VR,leicht
37,9.0,37.0,4.0,2.0,3.769044,-2.88946,4.749176,VR,leicht
38,9.0,38.0,4.0,2.0,5.291862,-2.80212,5.987961,VR,leicht
