"Zeitstempel","Bitte geben Sie ihr Geschlecht an.","Bitte nennen Sie ihr Alter (in Jahren).","Bitte geben Sie Ihre Größe an (in cm).","Mit welcher Hand hämmern Sie in Ihrem Alltag?","Wie schätzen Sie Ihre handwerklichen Fähigkeiten ein?
Meine handwerklichen Fähigkeiten sind ...","Bitte geben Sie den Grad Ihrer Zustimmung zu folgenden Aussagen an. [Ich beschäftige mich gern genauer mit technischen Systemen.]","Bitte geben Sie den Grad Ihrer Zustimmung zu folgenden Aussagen an. [Ich probiere gern die Funktionen neuer technischer Systeme aus.]","Bitte geben Sie den Grad Ihrer Zustimmung zu folgenden Aussagen an. [In erster Linie beschäftige ich mich mit technischen Systemen, weil ich muss.]","Bitte geben Sie den Grad Ihrer Zustimmung zu folgenden Aussagen an. [Wenn ich ein neues technisches System vor mir habe, probiere ich es intensiv aus.]","Bitte geben Sie den Grad Ihrer Zustimmung zu folgenden Aussagen an. [Ich verbringe sehr gern Zeit mit dem Kennenlernen eines neuen technischen Systems.]","Bitte geben Sie den Grad Ihrer Zustimmung zu folgenden Aussagen an. [Es genügt mir, dass ein technisches System funktioniert, mir ist es egal, wie oder warum.]","Bitte geben Sie den Grad Ihrer Zustimmung zu folgenden Aussagen an. [Ich versuche zu verstehen, wie ein technisches System genau funktioniert.]","Bitte geben Sie den Grad Ihrer Zustimmung zu folgenden Aussagen an. [Es genügt mir, die Grundfunktionen eines technischen Systems zu kennen.]","Bitte geben Sie den Grad Ihrer Zustimmung zu folgenden Aussagen an. [Ich versuche, die Möglichkeiten eines technischen Systems vollständig auszunutzen.]","Auf einer Skala von 1-10 wie sehr fühlten Sie sich in der Anwendung präsent, als wären sie wirklich dort?","Dieser Fragebogen beinhaltet eine Liste von Symptomen, die nach dem Benutzen eines Head-Mounts-Displays auftreten können. Bitte geben Sie für jedes Symptom an, wie stark es jetzt gerade bei Ihnen auftritt. [Allgemeines Unwohlsein]","Dieser Fragebogen beinhaltet eine Liste von Symptomen, die nach dem Benutzen eines Head-Mounts-Displays auftreten können. Bitte geben Sie für jedes Symptom an, wie stark es jetzt gerade bei Ihnen auftritt. [Müdigkeit]","Dieser Fragebogen beinhaltet eine Liste von Symptomen, die nach dem Benutzen eines Head-Mounts-Displays auftreten können. Bitte geben Sie für jedes Symptom an, wie stark es jetzt gerade bei Ihnen auftritt. [Kopfschmerzen]","Dieser Fragebogen beinhaltet eine Liste von Symptomen, die nach dem Benutzen eines Head-Mounts-Displays auftreten können. Bitte geben Sie für jedes Symptom an, wie stark es jetzt gerade bei Ihnen auftritt. [Überanstrengung der Augen]","Dieser Fragebogen beinhaltet eine Liste von Symptomen, die nach dem Benutzen eines Head-Mounts-Displays auftreten können. Bitte geben Sie für jedes Symptom an, wie stark es jetzt gerade bei Ihnen auftritt. [Probleme scharf zu sehen]","Dieser Fragebogen beinhaltet eine Liste von Symptomen, die nach dem Benutzen eines Head-Mounts-Displays auftreten können. Bitte geben Sie für jedes Symptom an, wie stark es jetzt gerade bei Ihnen auftritt. [Erhöhter Speichelfluss]","Dieser Fragebogen beinhaltet eine Liste von Symptomen, die nach dem Benutzen eines Head-Mounts-Displays auftreten können. Bitte geben Sie für jedes Symptom an, wie stark es jetzt gerade bei Ihnen auftritt. [Schwitzen]","Dieser Fragebogen beinhaltet eine Liste von Symptomen, die nach dem Benutzen eines Head-Mounts-Displays auftreten können. Bitte geben Sie für jedes Symptom an, wie stark es jetzt gerade bei Ihnen auftritt. [Übelkeit]","Dieser Fragebogen beinhaltet eine Liste von Symptomen, die nach dem Benutzen eines Head-Mounts-Displays auftreten können. Bitte geben Sie für jedes Symptom an, wie stark es jetzt gerade bei Ihnen auftritt. [Konzentrationsschwierigkeiten]","Dieser Fragebogen beinhaltet eine Liste von Symptomen, die nach dem Benutzen eines Head-Mounts-Displays auftreten können. Bitte geben Sie für jedes Symptom an, wie stark es jetzt gerade bei Ihnen auftritt. [Kopfdruck]","MSSQ-Wert","Tischhöhe","VP Kürzel"
"2023/10/27 12:30:45 PM MEZ","männlich","27","186","rechte Hand","2","stimmt eher","stimmt weitgehend","stimmt eher nicht","stimmt weitgehend","stimmt eher","stimmt weitgehend nicht","stimmt weitgehend","stimmt weitgehend nicht","stimmt eher","4","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","leicht","0","102","01"
"2023/10/27 3:17:23 PM MEZ","weiblich","23","165","rechte Hand","2","stimmt eher nicht","stimmt eher","stimmt eher","stimmt eher","stimmt eher nicht","stimmt weitgehend","stimmt weitgehend nicht","stimmt eher nicht","stimmt eher","6","gar nicht","leicht","leicht","leicht","mäßig","gar nicht","leicht","gar nicht","gar nicht","leicht","0","89,5","02"
"2023/10/27 4:36:41 PM MEZ","männlich","21","172","rechte Hand","4","stimmt eher","stimmt weitgehend","stimmt weitgehend nicht","stimmt weitgehend","stimmt eher","stimmt weitgehend nicht","stimmt eher","stimmt weitgehend nicht","stimmt weitgehend","7","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","leicht","gar nicht","gar nicht","leicht","3","87,5","03"
"2023/10/30 11:14:02 AM MEZ","weiblich","25","169","rechte Hand","3","stimmt weitgehend nicht","stimmt weitgehend nicht","stimmt eher","stimmt weitgehend nicht","stimmt weitgehend nicht","stimmt eher","stimmt weitgehend nicht","stimmt eher","stimmt weitgehend","8","gar nicht","gar nicht","gar nicht","gar nicht","mäßig","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","1","79,5","04"
"2023/11/01 8:54:07 AM MEZ","männlich","25","189","rechte Hand","3","stimmt eher nicht","stimmt eher nicht","stimmt eher","stimmt eher nicht","stimmt weitgehend nicht","stimmt eher nicht","stimmt weitgehend nicht","stimmt eher","stimmt weitgehend nicht","10","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","7","96","05"
"2023/11/01 10:03:27 AM MEZ","männlich","20","187","rechte Hand","2","stimmt eher","stimmt eher","stimmt weitgehend nicht","stimmt weitgehend","stimmt weitgehend","stimmt eher nicht","stimmt weitgehend nicht","stimmt weitgehend nicht","stimmt eher","8","gar nicht","gar nicht","gar nicht","leicht","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","14","90,5","06"
"2023/11/03 1:58:13 PM MEZ","weiblich","20","168","rechte Hand","3","stimmt eher nicht","stimmt eher","stimmt eher","stimmt eher nicht","stimmt eher nicht","stimmt weitgehend","stimmt eher nicht","stimmt eher","stimmt eher","7","gar nicht","gar nicht","gar nicht","leicht","gar nicht","gar nicht","leicht","gar nicht","gar nicht","gar nicht","3","94,5","07"
"2023/11/03 3:17:05 PM MEZ","männlich","22","190","rechte Hand","2","stimmt weitgehend","stimmt völlig","stimmt weitgehend nicht","stimmt weitgehend","stimmt weitgehend","stimmt weitgehend nicht","stimmt weitgehend","stimmt weitgehend nicht","stimmt völlig","8","leicht","leicht","gar nicht","stark","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","gar nicht","0","101","08"
"2023/11/03 4:19:44 PM MEZ","männlich","22","183","rechte Hand","4","stimmt eher nicht","stimmt eher nicht","stimmt weitgehend","stimmt weitgehend nicht","stimmt eher nicht","stimmt weitgehend","stimmt weitgehend nicht","stimmt eher","stimmt eher nicht","6","leicht","mäßig","gar nicht","mäßig","mäßig","gar nicht","leicht","gar nicht","leicht","mäßig","3","87,5","09"
"2023/11/06 8:50:33 AM MEZ","weiblich","21","168","rechte Hand","3","stimmt eher nicht","stimmt weitgehend","stimmt eher nicht","stimmt eher nicht","stimmt eher nicht","stimmt eher nicht","stimmt weitgehend","stimmt weitgehend","stimmt weitgehend nicht","9","gar nicht","mäßig","gar nicht","gar nicht","mäßig","gar nicht","gar nicht","gar nicht","leicht","leicht","8","83,5","10"
