,Participant,hit,position,series,x,y,distance,mode
1,4.0,1.0,5.0,1.0,-1.95553,6.641449,6.923363,VR
2,4.0,2.0,5.0,1.0,5.563735,5.056679,7.518321,VR
3,4.0,3.0,5.0,1.0,10.84272,1.875877,11.0038,VR
4,4.0,4.0,5.0,1.0,-0.4876645,-2.876873,2.917913,VR
5,4.0,5.0,5.0,1.0,0.5736864,1.446152,1.555786,VR
6,4.0,6.0,3.0,1.0,-8.628603,7.000933,11.11152,VR
7,4.0,7.0,3.0,1.0,-6.139132,9.674497,11.45796,VR
8,4.0,8.0,3.0,1.0,0.750423,6.435883,6.479485,VR
9,4.0,9.0,3.0,1.0,0.728874,4.141685,4.205332,VR
10,4.0,10.0,3.0,1.0,4.693653,9.310493,10.42668,VR
11,4.0,11.0,1.0,1.0,-7.424328,3.990129,8.42863,VR
12,4.0,12.0,1.0,1.0,11.70421,-3.441298,12.19964,VR
13,4.0,13.0,1.0,1.0,1.398131,0.3004753,1.430054,VR
14,4.0,14.0,1.0,1.0,-0.6578865,-3.49886,3.560174,VR
15,4.0,15.0,1.0,1.0,5.938456,0.3751238,5.950292,VR
16,4.0,16.0,6.0,1.0,3.271731,8.30517,8.92637,VR
17,4.0,17.0,6.0,1.0,-3.082457,-3.865222,4.943833,VR
18,4.0,18.0,6.0,1.0,5.57229,-0.3013262,5.580431,VR
19,4.0,19.0,6.0,1.0,2.458113,1.76428,3.025724,VR
20,4.0,20.0,6.0,1.0,2.737527,-0.4379851,2.772343,VR
21,4.0,21.0,4.0,1.0,-5.794914,-1.673463,6.031708,VR
22,4.0,22.0,4.0,1.0,7.644648,12.50872,14.65976,VR
23,4.0,23.0,4.0,1.0,6.34288,7.206919,9.600616,VR
24,4.0,24.0,4.0,1.0,-11.68658,6.371243,13.31048,VR
25,4.0,25.0,4.0,1.0,2.535728,6.157018,6.658738,VR
26,4.0,26.0,2.0,1.0,-0.7784224,-0.08064244,0.7825884,VR
27,4.0,27.0,2.0,1.0,0.4826517,0.6360831,0.79847,VR
28,4.0,28.0,2.0,1.0,-0.7813311,3.909315,3.986631,VR
29,4.0,29.0,2.0,1.0,-3.55789,4.202517,5.506335,VR
30,4.0,30.0,2.0,1.0,-1.444979,3.741446,4.010784,VR
31,4.0,31.0,1.0,2.0,-9.683472,6.182924,11.48905,VR
32,4.0,32.0,1.0,2.0,-4.479798,4.434119,6.303174,VR
33,4.0,33.0,1.0,2.0,-3.759893,3.31001,5.009287,VR
34,4.0,34.0,1.0,2.0,-10.30554,1.223362,10.3779,VR
35,4.0,35.0,4.0,2.0,2.019882,0.4705502,2.073967,VR
36,4.0,36.0,4.0,2.0,-1.543931,-9.743591,9.865156,VR
37,4.0,37.0,4.0,2.0,-0.4251831,-3.065484,3.09483,VR
38,4.0,38.0,4.0,2.0,-8.631545,17.06573,19.1244,VR
39,4.0,39.0,4.0,2.0,5.572987,-3.40049,6.528516,VR
40,4.0,40.0,2.0,2.0,6.62035,6.611254,9.356159,VR
41,4.0,41.0,2.0,2.0,1.850426,3.167827,3.668679,VR
42,4.0,42.0,2.0,2.0,0.1457008,0.7818419,0.7953022,VR
43,4.0,43.0,2.0,2.0,-7.962899,2.009321,8.212499,VR
44,4.0,44.0,2.0,2.0,0.394496,1.801491,1.844179,VR
45,4.0,45.0,3.0,2.0,-10.80111,-5.274461,12.02014,VR
46,4.0,46.0,3.0,2.0,7.27051,-3.830891,8.218031,VR
47,4.0,47.0,3.0,2.0,-7.220607,-4.45888,8.486388,VR
48,4.0,48.0,3.0,2.0,-3.896568,-2.165297,4.457774,VR
49,4.0,49.0,3.0,2.0,-6.634843,-9.186872,11.33224,VR
50,4.0,50.0,6.0,2.0,-6.550719,-1.812324,6.796797,VR
51,4.0,51.0,6.0,2.0,-7.100706,-0.09836631,7.101387,VR
52,4.0,52.0,6.0,2.0,4.007998,-7.281985,8.312121,VR
53,4.0,53.0,6.0,2.0,2.330789,-2.472982,3.398266,VR
54,4.0,54.0,6.0,2.0,19.65081,8.77164,21.51966,VR
55,4.0,55.0,5.0,2.0,-6.451114,8.403717,10.59431,VR
56,4.0,56.0,5.0,2.0,5.226568,-1.757153,5.514036,VR
57,4.0,57.0,5.0,2.0,22.92311,10.88255,25.37516,VR
58,4.0,58.0,5.0,2.0,7.485115,0.6022692,7.509305,VR
59,4.0,59.0,5.0,2.0,-3.207565,3.444378,4.706614,VR
1,19.0,1.0,1.0,1.0,-4.106623,-3.470144,5.376453,VR
2,19.0,2.0,1.0,1.0,15.44846,-23.75315,28.33491,VR
3,19.0,3.0,1.0,1.0,0.01302277,-11.28538,11.28538,VR
4,19.0,4.0,1.0,1.0,7.784595,-4.494925,8.989119,VR
5,19.0,5.0,1.0,1.0,7.543347,-11.58438,13.82389,VR
6,19.0,6.0,5.0,1.0,5.471192,-20.19055,20.91871,VR
7,19.0,7.0,5.0,1.0,6.395978,-17.05541,18.21526,VR
8,19.0,8.0,5.0,1.0,13.58663,-26.15202,29.47074,VR
9,19.0,9.0,5.0,1.0,1.798256,-17.91171,18.00175,VR
10,19.0,10.0,5.0,1.0,12.44152,-15.96909,20.24359,VR
11,19.0,11.0,3.0,1.0,5.053373,-24.69415,25.2059,VR
12,19.0,12.0,3.0,1.0,-5.910591,-16.88367,17.88836,VR
13,19.0,13.0,3.0,1.0,-13.66588,-20.05493,24.26843,VR
14,19.0,14.0,3.0,1.0,14.07043,-14.95913,20.53661,VR
15,19.0,15.0,3.0,1.0,-8.402406,-19.55696,21.28556,VR
16,19.0,16.0,2.0,1.0,-8.126301,-17.94024,19.6949,VR
17,19.0,17.0,2.0,1.0,-4.364692,-7.719462,8.867955,VR
18,19.0,18.0,2.0,1.0,-0.8319765,-27.7745,27.78696,VR
19,19.0,19.0,2.0,1.0,-4.759787,-5.435057,7.224639,VR
20,19.0,20.0,2.0,1.0,11.02346,-10.75348,15.3998,VR
21,19.0,21.0,4.0,1.0,11.4618,8.284609,14.14241,VR
22,19.0,22.0,4.0,1.0,-11.00111,0.9742193,11.04417,VR
23,19.0,23.0,4.0,1.0,43.76896,-21.36016,48.70296,VR
24,19.0,24.0,4.0,1.0,-17.93015,-11.86838,21.5023,VR
25,19.0,25.0,4.0,1.0,3.602353,-0.2751391,3.612845,VR
26,19.0,26.0,6.0,1.0,3.055807,-16.88184,17.15618,VR
27,19.0,27.0,6.0,1.0,-24.74153,-23.80937,34.337,VR
28,19.0,28.0,6.0,1.0,-7.367603,-8.526362,11.26856,VR
29,19.0,29.0,6.0,1.0,0.4765724,-0.04188144,0.4784092,VR
30,19.0,30.0,6.0,1.0,-0.7671422,-17.61875,17.63544,VR
31,19.0,31.0,3.0,2.0,-1.734116,10.68524,10.82504,VR
32,19.0,32.0,3.0,2.0,-7.977405,-12.18722,14.56596,VR
33,19.0,33.0,3.0,2.0,-4.707428,-4.828433,6.743415,VR
34,19.0,34.0,3.0,2.0,4.127732,-10.89367,11.64948,VR
35,19.0,35.0,3.0,2.0,-12.23077,-2.462618,12.47623,VR
36,19.0,36.0,4.0,2.0,13.75954,6.890698,15.38852,VR
37,19.0,37.0,4.0,2.0,10.63916,-29.72286,31.56961,VR
38,19.0,38.0,4.0,2.0,-1.687176,-9.96687,10.10866,VR
39,19.0,39.0,4.0,2.0,9.619967,-0.1616516,9.621324,VR
40,19.0,40.0,4.0,2.0,12.17834,-28.34868,30.85384,VR
41,19.0,41.0,2.0,2.0,-3.748052,-22.2357,22.54937,VR
42,19.0,42.0,2.0,2.0,5.120342,-15.23176,16.06936,VR
43,19.0,43.0,2.0,2.0,-9.638224,-8.032004,12.54625,VR
44,19.0,44.0,2.0,2.0,1.678069,-1.16171,2.040952,VR
45,19.0,45.0,2.0,2.0,2.59624,-15.99769,16.20699,VR
46,19.0,46.0,6.0,2.0,-6.028258,-20.42079,21.29198,VR
47,19.0,47.0,6.0,2.0,2.830026,-10.83451,11.19802,VR
48,19.0,48.0,6.0,2.0,-11.73149,-24.3782,27.0541,VR
49,19.0,49.0,6.0,2.0,-11.61088,-20.40364,23.47597,VR
50,19.0,50.0,6.0,2.0,-1.517764,-16.46566,16.53547,VR
51,19.0,51.0,1.0,2.0,8.826668,-8.743925,12.42442,VR
52,19.0,52.0,1.0,2.0,9.857277,-30.67501,32.21991,VR
53,19.0,53.0,1.0,2.0,-3.877023,-11.94875,12.56201,VR
54,19.0,54.0,1.0,2.0,-0.2003592,-15.66488,15.66616,VR
55,19.0,55.0,1.0,2.0,-11.97438,-17.28377,21.02651,VR
56,19.0,56.0,5.0,2.0,8.904389,-25.12099,26.65243,VR
57,19.0,57.0,5.0,2.0,8.571987,-11.30759,14.18945,VR
58,19.0,58.0,5.0,2.0,-0.05707855,-2.025258,2.026062,VR
59,19.0,59.0,5.0,2.0,1.503245,-15.59451,15.6668,VR
60,19.0,60.0,5.0,2.0,6.975739,-7.951034,10.57733,VR
1,11.0,1.0,1.0,1.0,-0.2341176,0.5615219,0.6083732,VR
2,11.0,2.0,1.0,1.0,5.402646,13.33552,14.38835,VR
3,11.0,3.0,1.0,1.0,-2.150317,4.142743,4.667568,VR
4,11.0,4.0,1.0,1.0,-4.330419,7.889512,8.999829,VR
5,11.0,5.0,1.0,1.0,-1.70587,5.617804,5.871091,VR
6,11.0,6.0,2.0,1.0,-1.813982,3.706587,4.126659,VR
7,11.0,7.0,2.0,1.0,4.976009,10.46187,11.58496,VR
8,11.0,8.0,2.0,1.0,-3.324977,10.40657,10.92484,VR
9,11.0,9.0,2.0,1.0,3.32504,9.014467,9.608149,VR
10,11.0,10.0,2.0,1.0,-5.778913,5.918498,8.271908,VR
11,11.0,11.0,3.0,1.0,-2.213484,6.891277,7.238039,VR
12,11.0,12.0,3.0,1.0,-1.694984,5.480425,5.736552,VR
13,11.0,13.0,3.0,1.0,5.713981,4.225251,7.106499,VR
14,11.0,14.0,3.0,1.0,-3.483476,-2.313144,4.181536,VR
15,11.0,15.0,3.0,1.0,1.135196,0.5719649,1.271146,VR
16,11.0,16.0,4.0,1.0,-1.143539,7.519976,7.606426,VR
17,11.0,17.0,4.0,1.0,4.949237,-0.09962817,4.950239,VR
18,11.0,18.0,4.0,1.0,1.237758,0.9904124,1.585233,VR
19,11.0,19.0,4.0,1.0,-0.7733756,3.417041,3.503467,VR
20,11.0,20.0,4.0,1.0,4.145734,-0.7836673,4.219152,VR
21,11.0,21.0,5.0,1.0,-1.834147,2.069432,2.765257,VR
22,11.0,22.0,5.0,1.0,1.062047,3.327384,3.492768,VR
23,11.0,23.0,5.0,1.0,1.800737,1.514001,2.352626,VR
24,11.0,24.0,5.0,1.0,0.5486703,1.654806,1.743394,VR
25,11.0,25.0,5.0,1.0,0.1399657,6.052347,6.053965,VR
26,11.0,26.0,5.0,1.0,1.601738,2.241838,2.75525,VR
27,11.0,27.0,5.0,1.0,-3.551216,-0.877232,3.65796,VR
28,11.0,28.0,6.0,1.0,4.360887,2.593911,5.074023,VR
29,11.0,29.0,6.0,1.0,-3.508616,2.564379,4.345851,VR
30,11.0,30.0,6.0,1.0,-0.2544265,7.428635,7.43299,VR
31,11.0,31.0,6.0,1.0,-0.420536,-0.8386322,0.9381655,VR
32,11.0,32.0,6.0,1.0,1.297797,3.620627,3.846195,VR
33,11.0,33.0,2.0,2.0,2.587196,-1.728482,3.111468,VR
34,11.0,34.0,2.0,2.0,-3.395217,3.340438,4.762985,VR
35,11.0,35.0,2.0,2.0,3.275559,-5.40122,6.31684,VR
36,11.0,36.0,2.0,2.0,-0.1685155,3.658601,3.66248,VR
37,11.0,37.0,2.0,2.0,-8.145389,-1.195223,8.232613,VR
38,11.0,38.0,1.0,2.0,6.341603,1.340348,6.481701,VR
39,11.0,39.0,1.0,2.0,-1.162365,-3.182456,3.388085,VR
40,11.0,40.0,1.0,2.0,-0.4479032,0.1905492,0.4867508,VR
41,11.0,41.0,1.0,2.0,-2.211616,-0.4938129,2.266075,VR
42,11.0,42.0,1.0,2.0,-6.355664,3.039972,7.045274,VR
43,11.0,43.0,3.0,2.0,-3.796227,-4.358632,5.780052,VR
44,11.0,44.0,3.0,2.0,-5.037132,-2.719377,5.724308,VR
45,11.0,45.0,3.0,2.0,-3.855594,2.540924,4.617564,VR
46,11.0,46.0,3.0,2.0,-8.015737,-2.34544,8.351833,VR
47,11.0,47.0,3.0,2.0,0.3328626,1.973349,2.001225,VR
48,11.0,48.0,6.0,2.0,-2.271671,8.124014,8.435644,VR
49,11.0,49.0,6.0,2.0,-1.164812,1.817455,2.158687,VR
50,11.0,50.0,6.0,2.0,0.009037371,1.94873,1.94875,VR
51,11.0,51.0,6.0,2.0,-1.364249,4.359588,4.568061,VR
52,11.0,52.0,6.0,2.0,-2.728909,0.433684,2.763155,VR
53,11.0,53.0,4.0,2.0,4.298929,12.13908,12.87781,VR
54,11.0,54.0,4.0,2.0,-2.570761,1.214539,2.843223,VR
55,11.0,55.0,4.0,2.0,2.754157,-0.7485421,2.854066,VR
56,11.0,56.0,4.0,2.0,4.658761,-1.67894,4.95206,VR
