timediff; x; y; z; forward_x; forward_y; forward_z
1,3214733;0;0;0;0;0;1
1,3224698;0;0;0;0;0;1
1,3244631;-0,1988314;0,7554747;1,747198;0,03924532;0,09251039;-0,9949382
1,3204759;0;0;0;0;0;1
1,3204759;0;0;0;0;0;1
1,3214727;-0,1988314;0,7554747;1,747198;0,03924532;0,09251039;-0,9949382
1,5892593;0;0;0;0;0;1
1,5892593;0;0;0;0;0;1
1,5912524;-0,1989407;0,7555254;1,747417;0,03924357;0,09269954;-0,9949206
1,5872655;0;0;0;0;0;1
1,5872655;0;0;0;0;0;1
1,5882617;-0,1989407;0,7555254;1,747417;0,03924357;0,09269954;-0,9949206
1,9430978;0;0;0;0;0;1
1,9430978;0;0;0;0;0;1
1,9450911;-0,1987274;0,7553451;1,747656;0,03935412;0,09295906;-0,9948921
1,9411043;0;0;0;0;0;1
1,9421006;0;0;0;0;0;1
1,9421006;-0,1987274;0,7553451;1,747656;0,03935412;0,09295906;-0,9948921
2,342099;0;0;0;0;0;1
2,342099;0;0;0;0;0;1
2,3440947;-0,1988817;0,7557395;1,747479;0,03955344;0,09295323;-0,9948848
2,3401048;0;0;0;0;0;1
2,3401048;0;0;0;0;0;1
2,3411014;-0,1988817;0,7557395;1,747479;0,03955344;0,09295323;-0,9948848
2,6872296;0;0;0;0;0;1
2,6872296;0;0;0;0;0;1
2,6892227;-0,1988092;0,7556546;1,7473;0,03935242;0,09275261;-0,9949113
2,6852363;0;0;0;0;0;1
2,6852363;0;0;0;0;0;1
2,6852363;-0,1988092;0,7556546;1,7473;0,03935242;0,09275261;-0,9949113
2,9752064;0;0;0;0;0;1
2,976203;0;0;0;0;0;1
2,9771996;-0,1987744;0,7551681;1,747941;0,03904071;0,09290189;-0,9949096
2,9732123;0;0;0;0;0;1
2,9732123;0;0;0;0;0;1
2,9742097;-0,1987744;0,7551681;1,747941;0,03904071;0,09290189;-0,9949096
3,253323;0;0;0;0;0;1
3,253323;0;0;0;0;0;1
3,2553117;-0,1987017;0,7552465;1,748056;0,03904264;0,09300897;-0,9948996
3,2513245;0;0;0;0;0;1
3,2513245;0;0;0;0;0;1
3,2523212;-0,1987017;0,7552465;1,748056;0,03904264;0,09300897;-0,9948996
3,5425121;0;0;0;0;0;1
3,5435049;0;0;0;0;0;1
3,5445015;-0,1988012;0,7554152;1,747792;0,03921924;0,09278765;-0,9949134
3,5405146;0;0;0;0;0;1
3,5405146;0;0;0;0;0;1
3,5415112;-0,1988012;0,7554152;1,747792;0,03921924;0,09278765;-0,9949134
3,8304742;0;0;0;0;0;1
3,8314709;0;0;0;0;0;1
3,8324675;-0,1988476;0,7553746;1,747487;0,03917342;0,09284261;-0,99491
3,8284802;0;0;0;0;0;1
3,8294765;0;0;0;0;0;1
3,8294765;-0,1988476;0,7553746;1,747487;0,03917342;0,09284261;-0,99491
4,1136541;0;0;0;0;0;1
4,1146546;0;0;0;0;0;1
4,1166473;-0,1985961;0,7553889;1,747838;0,03896699;0,09261352;-0,9949395
4,1116635;0;0;0;0;0;1
4,1126563;0;0;0;0;0;1
4,1126563;-0,1985961;0,7553889;1,747838;0,03896699;0,09261352;-0,9949395
4,3978614;0;0;0;0;0;1
4,3978614;0;0;0;0;0;1
4,3998504;-0,1988022;0,7553461;1,747812;0,03927656;0,09259477;-0,994929
4,3958681;0;0;0;0;0;1
4,3958681;0;0;0;0;0;1
4,3968606;-0,1988022;0,7553461;1,747812;0,03927656;0,09259477;-0,994929
