timediff; x; y; z; forward_x; forward_y; forward_z
1,6860396;0;0;0;0;0;1
1,6850405;0;0;0;0;0;1
1,9404475;0;0;0;0;0;1
1,9384472;0;0;0;0;0;1
2,3321662;0;0;0;0;0;1
2,3301659;0;0;0;0;0;1
2,7258521;0;0;0;0;0;1
2,7238521;0;0;0;0;0;1
2,9917169;0;0;0;0;0;1
2,9897174;0;0;0;0;0;1
3,2582699;0;0;0;0;0;1
3,2562709;0;0;0;0;0;1
3,5256441;0;0;0;0;0;1
3,5236445;0;0;0;0;0;1
3,8916442;0;0;0;0;0;1
3,8906435;0;0;0;0;0;1
4,2916569;0;0;0;0;0;1
4,2896563;0;0;0;0;0;1
4,5796562;0;0;0;0;0;1
4,5776596;0;0;0;0;0;1
4,8466563;0;0;0;0;0;1
4,8446559;0;0;0;0;0;1
5,1136559;0;0;0;0;0;1
5,1106556;0;0;0;0;0;1
5,3796564;0;0;0;0;0;1
5,3776561;0;0;0;0;0;1
5,6466561;0;0;0;0;0;1
5,6446567;0;0;0;0;0;1
5,9126561;0;0;0;0;0;1
5,9106565;0;0;0;0;0;1
6,1796564;0;0;0;0;0;1
6,1776559;0;0;0;0;0;1
6,446656;0;0;0;0;0;1
6,4446559;0;0;0;0;0;1
6,716656;0;0;0;0;0;1
6,7146559;0;0;0;0;0;1
6,9846564;0;0;0;0;0;1
6,9816606;0;0;0;0;0;1
7,2506563;0;0;0;0;0;1
7,2486602;0;0;0;0;0;1
7,5186609;0;0;0;0;0;1
7,5156597;0;0;0;0;0;1
7,8056585;0;0;0;0;0;1
7,8026595;0;0;0;0;0;1
8,2056559;0;0;0;0;0;1
8,2036557;0;0;0;0;0;1
8,5596559;0;0;0;0;0;1
8,55766;0;0;0;0;0;1
8,8446559;0;0;0;0;0;1
8,8426558;0;0;0;0;0;1
9,1566563;0;0;0;0;0;1
9,1556595;0;0;0;0;0;1
9,556656;0;0;0;0;0;1
9,554656;0;0;0;0;0;1
9,900657;0;0;0;0;0;1
9,8986566;0;0;0;0;0;1
10,1676561;0;0;0;0;0;1
10,1656556;0;0;0;0;0;1
10,477656;0;0;0;0;0;1
10,4756598;0;0;0;0;0;1
10,8776718;0;0;0;0;0;1
10,8756715;0;0;0;0;0;1
11,2106717;0;0;0;0;0;1
11,2086718;0;0;0;0;0;1
11,4776721;0;0;0;0;0;1
11,4746723;0;0;0;0;0;1
11,7476721;0;0;0;0;0;1
11,7456716;0;0;0;0;0;1
12,0156718;0;0;0;0;0;1
12,0136716;0;0;0;0;0;1
12,2786719;0;0;0;0;0;1
12,2766715;0;0;0;0;0;1
12,5456852;0;0;0;0;0;1
12,543685;0;0;0;0;0;1
12,8136857;0;0;0;0;0;1
12,8106857;0;0;0;0;0;1
13,0806858;0;0;0;0;0;1
13,0786895;0;0;0;0;0;1
13,3476858;0;0;0;0;0;1
13,3456868;0;0;0;0;0;1
13,6146858;0;0;0;0;0;1
13,6126851;0;0;0;0;0;1
13,8806854;0;0;0;0;0;1
13,8786852;0;0;0;0;0;1
14,1468408;0;0;0;0;0;1
14,1448444;0;0;0;0;0;1
14,4135733;0;0;0;0;0;1
14,4115732;0;0;0;0;0;1
14,6805649;0;0;0;0;0;1
14,6785675;0;0;0;0;0;1
14,9464991;0;0;0;0;0;1
14,9454984;0;0;0;0;0;1
15,2127956;0;0;0;0;0;1
15,2107962;0;0;0;0;0;1
15,4791631;0;0;0;0;0;1
15,4781669;0;0;0;0;0;1
15,7455798;0;0;0;0;0;1
15,7435796;0;0;0;0;0;1
16,0127575;0;0;0;0;0;1
16,0097567;0;0;0;0;0;1
16,2797685;0;0;0;0;0;1
16,2777685;0;0;0;0;0;1
16,5467722;0;0;0;0;0;1
16,5447684;0;0;0;0;0;1
16,8128394;0;0;0;0;0;1
