timediff; x; y; z; forward_x; forward_y; forward_z
1,2373037;0;0;0;0;0;1
1,2373037;0;0;0;0;0;1
1,2402944;-0,1660247;0,7556127;1,509661;-0,3972628;0,5721501;-0,7175143
1,4378533;0;0;0;0;0;1
1,4388498;0;0;0;0;0;1
1,4408435;-0,1659275;0,7556903;1,509556;-0,3972538;0,5721124;-0,7175493
1,669114;0;0;0;0;0;1
1,669114;0;0;0;0;0;1
1,6721044;-0,1658579;0,7556645;1,509489;-0,3971984;0,5719431;-0,7177149
1,9357626;0;0;0;0;0;1
1,9367589;0;0;0;0;0;1
1,9387526;-0,165889;0,7556096;1,509551;-0,3975244;0,5718427;-0,7176144
2,2020584;0;0;0;0;0;1
2,2020584;0;0;0;0;0;1
2,2050502;-0,1658433;0,7556239;1,509605;-0,3972639;0,5721762;-0,7174928
2,4243184;0;0;0;0;0;1
2,4253152;0;0;0;0;0;1
2,4283057;-0,1658962;0,7554718;1,509661;-0,3971331;0,5720508;-0,7176653
2,6792271;0;0;0;0;0;1
2,6802156;0;0;0;0;0;1
2,6822093;-0,1658078;0,7554613;1,509569;-0,3973172;0,5720439;-0,7175689
2,9455397;0;0;0;0;0;1
2,9465366;0;0;0;0;0;1
2,9485303;-0,1659788;0,7557099;1,509713;-0,3972636;0,5720162;-0,7176204
3,2134516;0;0;0;0;0;1
3,2134516;0;0;0;0;0;1
3,2164422;-0,1659793;0,7554542;1,509534;-0,3974375;0,5721298;-0,7174337
3,423612;0;0;0;0;0;1
3,423612;0;0;0;0;0;1
3,426603;-0,1659577;0,7554773;1,509589;-0,3969713;0,5723009;-0,7175555
3,6907331;0;0;0;0;0;1
3,6907331;0;0;0;0;0;1
3,6927268;-0,1659929;0,755583;1,509503;-0,3974196;0,5720004;-0,7175466
3,9578425;0;0;0;0;0;1
3,9578425;0;0;0;0;0;1
3,9608332;-0,1657005;0,7552978;1,509528;-0,3971487;0,5722134;-0,7175269
4,1890687;0;0;0;0;0;1
4,1900657;0;0;0;0;0;1
4,1920594;-0,1660578;0,7554759;1,509586;-0,3974332;0,5721892;-0,7173887
4,4337572;0;0;0;0;0;1
4,4337572;0;0;0;0;0;1
4,4367476;-0,1659363;0,7555439;1,509716;-0,3972561;0,5722473;-0,7174404
4,7003896;0;0;0;0;0;1
4,7003896;0;0;0;0;0;1
4,7033763;-0,1658059;0,7555188;1,509644;-0,397242;0,572153;-0,7175233
4,9670582;0;0;0;0;0;1
4,9670582;0;0;0;0;0;1
4,9700439;-0,1658371;0,7555236;1,509753;-0,397123;0,5722743;-0,7174927
5,2337515;0;0;0;0;0;1
5,2337515;0;0;0;0;0;1
5,2367382;-0,1659933;0,7553595;1,50973;-0,3972945;0,5721493;-0,7174973
5,5000719;0;0;0;0;0;1
5,5000719;0;0;0;0;0;1
5,5030621;-0,1659541;0,755556;1,509608;-0,3970013;0,5721577;-0,7176529
5,7667303;0;0;0;0;0;1
5,7667303;0;0;0;0;0;1
5,7697208;-0,1658714;0,7555637;1,509644;-0,3971537;0,5721377;-0,7175845
6,0329824;0;0;0;0;0;1
6,0329824;0;0;0;0;0;1
6,0359726;-0,1660715;0,755527;1,50968;-0,3973582;0,5721099;-0,7174935
6,3001221;0;0;0;0;0;1
6,3001221;0;0;0;0;0;1
6,3031132;-0,1660541;0,7555275;1,509626;-0,3970669;0,5721531;-0,7176201
6,5658447;0;0;0;0;0;1
6,566841;0;0;0;0;0;1
6,5688347;-0,1657234;0,7555178;1,509493;-0,3971687;0,5722497;-0,7174869
6,8332513;0;0;0;0;0;1
6,8332513;0;0;0;0;0;1
6,8362415;-0,1659915;0,7557317;1,509622;-0,3973424;0,5720224;-0,717572
7,0994834;0;0;0;0;0;1
7,0994834;0;0;0;0;0;1
7,1024725;-0,1658446;0,7558136;1,509488;-0,3973262;0,5720767;-0,7175375
7,3661743;0;0;0;0;0;1
7,3671716;0;0;0;0;0;1
7,3691653;-0,1658707;0,7555327;1,509599;-0,3971598;0,5722287;-0,7175087
7,6322663;0;0;0;0;0;1
7,6332636;0;0;0;0;0;1
7,6352573;-0,1661107;0,7553831;1,509592;-0,3971499;0,5722241;-0,7175177
7,8992485;0;0;0;0;0;1
7,8992485;0;0;0;0;0;1
7,9022392;-0,1661177;0,7554955;1,509705;-0,3972381;0,5718859;-0,7177384
8,1659315;0;0;0;0;0;1
8,1659315;0;0;0;0;0;1
8,1689218;-0,1658466;0,7554044;1,50967;-0,3971696;0,572217;-0,7175123
8,4323147;0;0;0;0;0;1
8,4323147;0;0;0;0;0;1
8,4353043;-0,1657705;0,7555739;1,509506;-0,3973086;0,5719391;-0,7176572
8,6984239;0;0;0;0;0;1
8,6994212;0;0;0;0;0;1
8,7014149;-0,1657707;0,7555635;1,509727;-0,3972966;0,5718606;-0,7177263
8,9647373;0;0;0;0;0;1
8,9657341;0;0;0;0;0;1
8,9677278;-0,166131;0,7557569;1,509654;-0,3974133;0,5715694;-0,7178937
9,2312827;0;0;0;0;0;1
9,2322798;0;0;0;0;0;1
9,2342735;-0,1658968;0,755567;1,509714;-0,3973239;0,5718516;-0,7177183
9,4979439;0;0;0;0;0;1
9,4979439;0;0;0;0;0;1
9,500934;-0,1660952;0,7556524;1,509658;-0,3974623;0,5718336;-0,7176561
9,7642115;0;0;0;0;0;1
9,7652083;0;0;0;0;0;1
9,7681986;-0,1658381;0,7554433;1,509549;-0,3972482;0,5721561;-0,7175174
10,0313434;0;0;0;0;0;1
10,0313434;0;0;0;0;0;1
10,0343337;-0,1658158;0,7557107;1,509736;-0,3973157;0,5723688;-0,7173104
10,2979976;0;0;0;0;0;1
10,2979976;0;0;0;0;0;1
10,3009879;-0,1655242;0,7554864;1,509589;-0,3978394;0,5714855;-0,7177243
10,5646381;0;0;0;0;0;1
10,5646381;0;0;0;0;0;1
10,5676237;-0,1721234;0,7572269;1,522369;-0,3897315;0,5097631;-0,7669755
10,8307529;0;0;0;0;0;1
10,8317497;0;0;0;0;0;1
10,8337434;-0,1916396;0,7654523;1,532139;-0,1918965;0,3257655;-0,9257715
11,0974323;0;0;0;0;0;1
11,0984348;0;0;0;0;0;1
11,1004285;-0,2120042;0,7932094;1,544455;0,0680234;-0,1153066;-0,9909981
